Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Year,Month,Day,SMA_3,Prev_Close,Daily_Return,High_Low_Spread
2023-12-01,190.330002,191.559998,189.229996,191.240005,190.737579,45679300,AAPL,2023,12,1,191.240005,,,2.3300020000000075
2023-12-04,189.979996,190.050003,187.449997,189.429993,188.932327,43389500,AAPL,2023,12,4,190.33499899999998,191.240005,-0.946460966679017,2.6000060000000076
2023-12-05,190.210007,194.399994,190.179993,193.419998,192.91185,66628400,AAPL,2023,12,5,191.36333199999999,189.429993,2.106321674202879,4.220000999999996
2023-12-06,194.449997,194.759995,192.110001,192.320007,191.814758,41089700,AAPL,2023,12,6,191.72333266666666,193.419998,-0.5687059308107266,2.6499939999999924
2023-12-07,193.630005,195.0,193.589996,194.270004,193.759628,47477700,AAPL,2023,12,7,193.33666966666667,192.320007,1.0139335113480918,1.4100039999999865
2023-12-08,194.199997,195.990005,193.669998,195.710007,195.195831,53377300,AAPL,2023,12,8,194.100006,194.270004,0.7412379525147846,2.320007000000004
2023-12-11,193.110001,193.490005,191.419998,193.179993,192.67247,60943700,AAPL,2023,12,11,194.386668,195.710007,-1.2927361450658954,2.070007000000004
2023-12-12,193.080002,194.720001,191.720001,194.710007,194.198471,52696900,AAPL,2023,12,12,194.53333566666666,193.179993,0.7920147300139898,3.0
2023-12-13,195.089996,198.0,194.850006,197.960007,197.439926,70404200,AAPL,2023,12,13,195.28333566666666,194.710007,1.6691489307994325,3.1499939999999924
2023-12-14,198.020004,199.619995,196.160004,198.110001,197.589523,66831600,AAPL,2023,12,14,196.9266716666667,197.960007,0.07576984981619082,3.4599910000000023
2023-12-15,197.529999,198.399994,197.0,197.570007,197.050949,128256700,AAPL,2023,12,15,197.880005,198.110001,-0.27257281170777803,1.3999939999999924
2023-12-18,196.089996,196.630005,194.389999,195.889999,195.375351,55751900,AAPL,2023,12,18,197.19000233333335,197.570007,-0.8503355471359654,2.2400060000000224
2023-12-19,196.160004,196.949997,195.889999,196.940002,196.422607,40714100,AAPL,2023,12,19,196.8000026666667,195.889999,0.5360166447292717,1.0599980000000073
2023-12-20,196.899994,197.679993,194.830002,194.830002,194.318146,52242800,AAPL,2023,12,20,195.88666766666665,196.940002,-1.0713922913436271,2.8499909999999886
2023-12-21,196.100006,197.080002,193.5,194.679993,194.168518,46482500,AAPL,2023,12,21,195.48333233333332,194.830002,-0.07699481520305654,3.5800020000000075
2023-12-22,195.179993,195.410004,192.970001,193.600006,193.091385,37122800,AAPL,2023,12,22,194.37000033333334,194.679993,-0.5547498658477908,2.44000299999999
2023-12-26,193.610001,193.889999,192.830002,193.050003,192.542831,28919300,AAPL,2023,12,26,193.7766673333333,193.600006,-0.28409244987316984,1.0599969999999814
2023-12-27,192.490005,193.5,191.089996,193.149994,192.642548,48087700,AAPL,2023,12,27,193.26666766666668,193.050003,0.05179538899048275,2.4100039999999865
2023-12-28,194.139999,194.660004,193.169998,193.580002,193.071426,34049900,AAPL,2023,12,28,193.25999966666666,193.149994,0.22262905169959002,1.490005999999994
2023-12-29,193.899994,194.399994,191.729996,192.529999,192.024185,42628800,AAPL,2023,12,29,193.086665,193.580002,-0.5424129502798558,2.6699979999999925
2024-01-02,187.149994,188.440002,183.889999,185.639999,185.152283,82488700,AAPL,2024,1,2,190.58333333333334,192.529999,-3.5786630840838543,4.550003000000004
2024-01-03,184.220001,185.880005,183.429993,184.25,183.765945,58414500,AAPL,2024,1,3,187.47333266666666,185.639999,-0.7487605082350755,2.450012000000015
2024-01-04,182.149994,183.089996,180.880005,181.910004,181.432098,71983600,AAPL,2024,1,4,183.9333343333333,184.25,-1.2700113975576734,2.2099910000000023
2024-01-05,181.990005,182.759995,180.169998,181.179993,180.703995,62303300,AAPL,2024,1,5,182.44666566666663,181.910004,-0.40130338296292406,2.589997000000011
2024-01-08,182.089996,185.600006,181.5,185.559998,185.072495,59144500,AAPL,2024,1,8,182.88333166666666,181.179993,2.4174882267491924,4.100006000000008
2024-01-09,183.919998,185.149994,182.729996,185.139999,184.653595,42841800,AAPL,2024,1,9,183.95999666666668,185.559998,-0.22634134755704105,2.4199979999999925
2024-01-10,184.350006,186.399994,183.919998,186.190002,185.700836,46792900,AAPL,2024,1,10,185.62999966666666,185.139999,0.5671400052238328,2.479996
2024-01-11,186.539993,187.050003,183.619995,185.589996,185.102417,49128400,AAPL,2024,1,11,185.639999,186.190002,-0.32225468261178664,3.430008000000015
